tour_code,slug,country,primary_city_or_region,knowledge_status,pricing_status
NP-001,nepal,Nepal,Kathmandu/Param Himalayan,DETAILED,INTERNAL_MVP
KG-002,kyrgyzstan,Kyrgyzstan,Issyk-Kul/Tien Shan,STUB,UNVERIFIED
RU-003,baikal,Russia,Lake Baikal,STUB,UNVERIFIED
TZ-004,tanzania,Tanzania,Serengeti/Kilimanjaro,STUB,UNVERIFIED
GE-005,georgia,Georgia,Tbilisi/Kazbegi,STUB,UNVERIFIED
UZ-006,samarkand,Uzbekistan,Samarkand,STUB,UNVERIFIED
DK-007,copenhagen,Denmark,Copenhagen,STUB,UNVERIFIED
CZ-008,prague,Czechia,Prague,STUB,UNVERIFIED
EG-009,egypt,Egypt,Cairo/Red Sea,STUB,UNVERIFIED
TR-010,turkey,Turkey,Istanbul/Antalya,STUB,UNVERIFIED
IT-011,italy,Italy,Rome,STUB,UNVERIFIED
FR-012,france,France,Paris,STUB,UNVERIFIED
GR-013,greece,Greece,Santorini/Athens,STUB,UNVERIFIED
MV-014,maldives,Maldives,Atolls,STUB,UNVERIFIED
ID-015,bali,Indonesia,Bali,STUB,UNVERIFIED
JP-016,japan,Japan,Tokyo/Fuji,STUB,UNVERIFIED
CR-017,cruise,Mediterranean,Mediterranean cruise,STUB,UNVERIFIED
